LoopID : 1; InstanceID : 0; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	l;	0x402fa7;	0;	22;	0;	0;	22;	0;	0;	22;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	813.000;	67.000;	0.000;	0.000;	67.000;	0.000;	0.000;	67.000;	0.000
Sum(Column) / LoopCount:	20.325;	1.675;	0.000;	0.000;	1.675;	0.000;	0.000;	1.675;	0.000

LoopID : 1; InstanceID : 4; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

